provider,game,frame_step_size,intervall (sec),home_DAS_count,away_DAS_count,against_home_sum_DAS,against_away_sum_DAS,against_home_mean_DAS,against_away_mean_DAS,against_home_max_DAS,against_away_max_DAS
dfl,J03WQQ,1500,60.0,25,32,75.06111373575483,65.78404834473699,2.3456598042423384,2.6313619337894796,24.591309131914517,24.980370535949106
metrica,metrica,1500,60.0,34,31,648.1601903768928,962.4021689504438,20.908393237964287,28.30594614560129,64.55533469353838,108.57266099783315
